Participant,DoF,Contents,Codecs,Bitrates,Scores,HRScores,DMOS,Content,Codec,Bitrate,PcqmAvg,p2pointMSEPSNR,p2planeMSEPSNR,YPSNR,UPSNR,VPSNR
58,3,4,2,5,3,4,4,H4,A2,R4,0.003438198,18.953472,24.078144,39.174816,39.983695,40.561488
58,3,4,3,2,1,4,2,H4,A3,R1,0.01313688,4.906551,5.6820951,23.494284,27.99323,25.53087
58,3,4,3,3,3,4,4,H4,A3,R2,0.009411224,5.8366448,10.956635,25.873452,29.99403,26.944755
58,3,4,3,4,5,4,6,H4,A3,R3,0.006358506,11.397625,16.42075,29.765142,31.248259,29.967795
58,3,4,3,5,4,4,5,H4,A3,R4,0.003438198,17.935137,22.63114,31.67414,32.736033,30.155904
59,3,1,2,2,2,5,2,H1,A2,R1,0.01240668,13.038201,15.332335,25.795635,31.858656,30.89267
59,3,1,2,3,2,5,2,H1,A2,R2,0.01132556,15.36644,18.979195,31.419878,34.51357,34.830279
59,3,1,2,4,3,5,3,H1,A2,R3,0.006527396,17.652933,22.434062,35.49371,38.412485,36.917475
59,3,1,2,5,3,5,3,H1,A2,R4,0.004630954,19.545768,24.328958,40.399029,39.983695,39.742064
59,3,1,3,2,2,5,2,H1,A3,R1,0.01475456,5.007717,5.7992517,22.54502,27.70464,26.337108
59,3,1,3,3,2,5,2,H1,A3,R2,0.01240668,5.8962024,10.956635,25.873452,29.08512,28.079271
59,3,1,3,4,2,5,2,H1,A3,R3,0.00750702,11.5176,16.9393,29.464484,31.570406,29.66509
59,3,1,3,5,4,5,4,H1,A3,R4,0.005216466,17.391648,22.16928,32.340964,32.405366,30.155904
59,3,2,2,2,2,3,4,H2,A2,R1,0.0131496,13.1699,16.623479,26.610234,33.1861,32.193414
59,3,2,2,3,3,3,5,H2,A2,R2,0.0121546,16.498704,19.378757,32.702322,36.64843,34.830279
59,3,2,2,4,3,3,5,H2,A2,R3,0.006317832,17.652933,23.120819,36.988182,40.39251,38.08329
59,3,2,2,5,3,3,5,H2,A2,R4,0.005695018,19.7432,24.579772,40.399029,42.508981,42.200336
59,3,2,3,2,1,3,3,H2,A3,R1,0.01505096,5.210049,5.85783,23.019652,28.859,26.8746
59,3,2,3,3,2,3,4,H2,A3,R2,0.0131496,6.0153176,11.879299,26.918844,29.99403,28.079271
59,3,2,3,4,2,3,4,H2,A3,R3,0.009144938,11.637575,17.45785,30.366458,32.858994,30.2705
59,3,2,3,5,3,3,5,H2,A3,R4,0.006317832,18.659789,23.32393,34.008024,33.0667,32.040648
59,3,3,2,2,2,5,2,H3,A2,R1,0.01294532,12.643104,15.332335,26.338701,32.522378,31.543042
59,3,3,2,3,2,5,2,H3,A2,R2,0.01193952,15.851696,19.378757,31.740489,35.22519,34.478458
59,3,3,2,4,3,5,3,H3,A2,R3,0.007944206,17.470944,22.662981,35.49371,39.204495,36.917475
59,3,3,2,5,4,5,4,H3,A2,R4,0.005074932,19.348336,23.82733,39.990958,41.246338,39.332352
59,3,3,3,2,1,5,1,H3,A3,R1,0.01319122,5.007717,5.7406734,22.54502,28.28182,26.068362
59,3,3,3,3,2,5,2,H3,A3,R2,0.01294532,5.7175296,11.187301,25.089408,29.08512,27.795642
59,3,3,3,4,4,5,4,H3,A3,R3,0.008847426,11.75755,16.42075,29.163826,30.926112,29.967795
59,3,3,3,5,2,5,2,H3,A3,R4,0.00561419,17.391648,22.16928,32.340964,31.744032,30.470028
59,3,4,2,2,1,3,3,H4,A2,R1,0.01313688,12.774803,15.977907,26.610234,32.522378,31.543042
59,3,4,2,3,2,3,4,H4,A2,R2,0.009411224,15.528192,19.178976,30.458045,35.22519,33.422995
59,3,4,2,4,2,3,4,H4,A2,R3,0.006358506,17.652933,22.662981,36.240946,38.412485,36.917475
59,3,4,2,5,2,3,4,H4,A2,R4,0.003438198,18.953472,24.078144,39.174816,39.983695,40.561488
59,3,4,3,2,1,3,3,H4,A3,R1,0.01313688,4.906551,5.6820951,23.494284,27.99323,25.53087
59,3,4,3,3,2,3,4,H4,A3,R2,0.009411224,5.8366448,10.956635,25.873452,29.99403,26.944755
59,3,4,3,4,4,3,6,H4,A3,R3,0.006358506,11.397625,16.42075,29.765142,31.248259,29.967795
59,3,4,3,5,2,3,4,H4,A3,R4,0.003438198,17.935137,22.63114,31.67414,32.736033,30.155904
60,3,1,2,2,2,4,3,H1,A2,R1,0.01240668,13.038201,15.332335,25.795635,31.858656,30.89267
60,3,1,2,3,4,4,5,H1,A2,R2,0.01132556,15.36644,18.979195,31.419878,34.51357,34.830279
60,3,1,2,4,4,4,5,H1,A2,R3,0.006527396,17.652933,22.434062,35.49371,38.412485,36.917475
60,3,1,2,5,4,4,5,H1,A2,R4,0.004630954,19.545768,24.328958,40.399029,39.983695,39.742064
60,3,1,3,2,3,4,4,H1,A3,R1,0.01475456,5.007717,5.7992517,22.54502,27.70464,26.337108
60,3,1,3,3,2,4,3,H1,A3,R2,0.01240668,5.8962024,10.956635,25.873452,29.08512,28.079271
60,3,1,3,4,3,4,4,H1,A3,R3,0.00750702,11.5176,16.9393,29.464484,31.570406,29.66509
60,3,1,3,5,4,4,5,H1,A3,R4,0.005216466,17.391648,22.16928,32.340964,32.405366,30.155904
60,3,2,2,2,2,5,2,H2,A2,R1,0.0131496,13.1699,16.623479,26.610234,33.1861,32.193414
60,3,2,2,3,3,5,3,H2,A2,R2,0.0121546,16.498704,19.378757,32.702322,36.64843,34.830279
60,3,2,2,4,4,5,4,H2,A2,R3,0.006317832,17.652933,23.120819,36.988182,40.39251,38.08329
60,3,2,2,5,4,5,4,H2,A2,R4,0.005695018,19.7432,24.579772,40.399029,42.508981,42.200336
60,3,2,3,2,2,5,2,H2,A3,R1,0.01505096,5.210049,5.85783,23.019652,28.859,26.8746
60,3,2,3,3,2,5,2,H2,A3,R2,0.0131496,6.0153176,11.879299,26.918844,29.99403,28.079271
60,3,2,3,4,3,5,3,H2,A3,R3,0.009144938,11.637575,17.45785,30.366458,32.858994,30.2705
60,3,2,3,5,5,5,5,H2,A3,R4,0.006317832,18.659789,23.32393,34.008024,33.0667,32.040648
60,3,3,2,2,2,4,3,H3,A2,R1,0.01294532,12.643104,15.332335,26.338701,32.522378,31.543042
60,3,3,2,3,3,4,4,H3,A2,R2,0.01193952,15.851696,19.378757,31.740489,35.22519,34.478458
60,3,3,2,4,3,4,4,H3,A2,R3,0.007944206,17.470944,22.662981,35.49371,39.204495,36.917475
60,3,3,2,5,3,4,4,H3,A2,R4,0.005074932,19.348336,23.82733,39.990958,41.246338,39.332352
60,3,3,3,2,2,4,3,H3,A3,R1,0.01319122,5.007717,5.7406734,22.54502,28.28182,26.068362
60,3,3,3,3,3,4,4,H3,A3,R2,0.01294532,5.7175296,11.187301,25.089408,29.08512,27.795642
60,3,3,3,4,4,4,5,H3,A3,R3,0.008847426,11.75755,16.42075,29.163826,30.926112,29.967795
60,3,3,3,5,4,4,5,H3,A3,R4,0.00561419,17.391648,22.16928,32.340964,31.744032,30.470028
60,3,4,2,2,1,3,3,H4,A2,R1,0.01313688,12.774803,15.977907,26.610234,32.522378,31.543042
60,3,4,2,3,3,3,5,H4,A2,R2,0.009411224,15.528192,19.178976,30.458045,35.22519,33.422995
60,3,4,2,4,4,3,6,H4,A2,R3,0.006358506,17.652933,22.662981,36.240946,38.412485,36.917475
60,3,4,2,5,3,3,5,H4,A2,R4,0.003438198,18.953472,24.078144,39.174816,39.983695,40.561488
60,3,4,3,2,1,3,3,H4,A3,R1,0.01313688,4.906551,5.6820951,23.494284,27.99323,25.53087
60,3,4,3,3,1,3,3,H4,A3,R2,0.009411224,5.8366448,10.956635,25.873452,29.99403,26.944755
60,3,4,3,4,3,3,5,H4,A3,R3,0.006358506,11.397625,16.42075,29.765142,31.248259,29.967795
60,3,4,3,5,3,3,5,H4,A3,R4,0.003438198,17.935137,22.63114,31.67414,32.736033,30.155904
61,3,1,2,2,3,4,4,H1,A2,R1,0.01240668,13.038201,15.332335,25.795635,31.858656,30.89267
61,3,1,2,3,3,4,4,H1,A2,R2,0.01132556,15.36644,18.979195,31.419878,34.51357,34.830279
61,3,1,2,4,4,4,5,H1,A2,R3,0.006527396,17.652933,22.434062,35.49371,38.412485,36.917475
61,3,1,2,5,3,4,4,H1,A2,R4,0.004630954,19.545768,24.328958,40.399029,39.983695,39.742064
61,3,1,3,2,2,4,3,H1,A3,R1,0.01475456,5.007717,5.7992517,22.54502,27.70464,26.337108
61,3,1,3,3,4,4,5,H1,A3,R2,0.01240668,5.8962024,10.956635,25.873452,29.08512,28.079271
61,3,1,3,4,3,4,4,H1,A3,R3,0.00750702,11.5176,16.9393,29.464484,31.570406,29.66509
61,3,1,3,5,3,4,4,H1,A3,R4,0.005216466,17.391648,22.16928,32.340964,32.405366,30.155904
61,3,2,2,2,2,5,2,H2,A2,R1,0.0131496,13.1699,16.623479,26.610234,33.1861,32.193414
61,3,2,2,3,3,5,3,H2,A2,R2,0.0121546,16.498704,19.378757,32.702322,36.64843,34.830279
61,3,2,2,4,4,5,4,H2,A2,R3,0.006317832,17.652933,23.120819,36.988182,40.39251,38.08329
61,3,2,2,5,4,5,4,H2,A2,R4,0.005695018,19.7432,24.579772,40.399029,42.508981,42.200336
61,3,2,3,2,1,5,1,H2,A3,R1,0.01505096,5.210049,5.85783,23.019652,28.859,26.8746
61,3,2,3,3,3,5,3,H2,A3,R2,0.0131496,6.0153176,11.879299,26.918844,29.99403,28.079271
61,3,2,3,4,3,5,3,H2,A3,R3,0.009144938,11.637575,17.45785,30.366458,32.858994,30.2705
61,3,2,3,5,5,5,5,H2,A3,R4,0.006317832,18.659789,23.32393,34.008024,33.0667,32.040648
61,3,3,2,2,3,5,3,H3,A2,R1,0.01294532,12.643104,15.332335,26.338701,32.522378,31.543042
61,3,3,2,3,3,5,3,H3,A2,R2,0.01193952,15.851696,19.378757,31.740489,35.22519,34.478458
61,3,3,2,4,4,5,4,H3,A2,R3,0.007944206,17.470944,22.662981,35.49371,39.204495,36.917475
61,3,3,2,5,5,5,5,H3,A2,R4,0.005074932,19.348336,23.82733,39.990958,41.246338,39.332352
61,3,3,3,2,2,5,2,H3,A3,R1,0.01319122,5.007717,5.7406734,22.54502,28.28182,26.068362
61,3,3,3,3,3,5,3,H3,A3,R2,0.01294532,5.7175296,11.187301,25.089408,29.08512,27.795642
61,3,3,3,4,4,5,4,H3,A3,R3,0.008847426,11.75755,16.42075,29.163826,30.926112,29.967795
61,3,3,3,5,5,5,5,H3,A3,R4,0.00561419,17.391648,22.16928,32.340964,31.744032,30.470028
61,3,4,2,2,1,4,2,H4,A2,R1,0.01313688,12.774803,15.977907,26.610234,32.522378,31.543042
61,3,4,2,3,2,4,3,H4,A2,R2,0.009411224,15.528192,19.178976,30.458045,35.22519,33.422995
61,3,4,2,4,3,4,4,H4,A2,R3,0.006358506,17.652933,22.662981,36.240946,38.412485,36.917475
61,3,4,2,5,3,4,4,H4,A2,R4,0.003438198,18.953472,24.078144,39.174816,39.983695,40.561488
61,3,4,3,2,2,4,3,H4,A3,R1,0.01313688,4.906551,5.6820951,23.494284,27.99323,25.53087
61,3,4,3,3,3,4,4,H4,A3,R2,0.009411224,5.8366448,10.956635,25.873452,29.99403,26.944755
61,3,4,3,4,3,4,4,H4,A3,R3,0.006358506,11.397625,16.42075,29.765142,31.248259,29.967795
61,3,4,3,5,3,4,4,H4,A3,R4,0.003438198,17.935137,22.63114,31.67414,32.736033,30.155904
62,3,1,2,2,3,5,3,H1,A2,R1,0.01240668,13.038201,15.332335,25.795635,31.858656,30.89267
62,3,1,2,3,5,5,5,H1,A2,R2,0.01132556,15.36644,18.979195,31.419878,34.51357,34.830279
62,3,1,2,4,4,5,4,H1,A2,R3,0.006527396,17.652933,22.434062,35.49371,38.412485,36.917475
62,3,1,2,5,4,5,4,H1,A2,R4,0.004630954,19.545768,24.328958,40.399029,39.983695,39.742064
62,3,1,3,2,2,5,2,H1,A3,R1,0.01475456,5.007717,5.7992517,22.54502,27.70464,26.337108
62,3,1,3,3,4,5,4,H1,A3,R2,0.01240668,5.8962024,10.956635,25.873452,29.08512,28.079271
62,3,1,3,4,4,5,4,H1,A3,R3,0.00750702,11.5176,16.9393,29.464484,31.570406,29.66509
62,3,1,3,5,5,5,5,H1,A3,R4,0.005216466,17.391648,22.16928,32.340964,32.405366,30.155904
62,3,2,2,2,2,5,2,H2,A2,R1,0.0131496,13.1699,16.623479,26.610234,33.1861,32.193414
62,3,2,2,3,2,5,2,H2,A2,R2,0.0121546,16.498704,19.378757,32.702322,36.64843,34.830279
62,3,2,2,4,3,5,3,H2,A2,R3,0.006317832,17.652933,23.120819,36.988182,40.39251,38.08329
62,3,2,2,5,3,5,3,H2,A2,R4,0.005695018,19.7432,24.579772,40.399029,42.508981,42.200336
62,3,2,3,2,1,5,1,H2,A3,R1,0.01505096,5.210049,5.85783,23.019652,28.859,26.8746
62,3,2,3,3,1,5,1,H2,A3,R2,0.0131496,6.0153176,11.879299,26.918844,29.99403,28.079271
62,3,2,3,4,2,5,2,H2,A3,R3,0.009144938,11.637575,17.45785,30.366458,32.858994,30.2705
62,3,2,3,5,4,5,4,H2,A3,R4,0.006317832,18.659789,23.32393,34.008024,33.0667,32.040648
62,3,3,2,2,4,5,4,H3,A2,R1,0.01294532,12.643104,15.332335,26.338701,32.522378,31.543042
62,3,3,2,3,3,5,3,H3,A2,R2,0.01193952,15.851696,19.378757,31.740489,35.22519,34.478458
62,3,3,2,4,4,5,4,H3,A2,R3,0.007944206,17.470944,22.662981,35.49371,39.204495,36.917475
62,3,3,2,5,4,5,4,H3,A2,R4,0.005074932,19.348336,23.82733,39.990958,41.246338,39.332352
62,3,3,3,2,1,5,1,H3,A3,R1,0.01319122,5.007717,5.7406734,22.54502,28.28182,26.068362
62,3,3,3,3,2,5,2,H3,A3,R2,0.01294532,5.7175296,11.187301,25.089408,29.08512,27.795642
62,3,3,3,4,3,5,3,H3,A3,R3,0.008847426,11.75755,16.42075,29.163826,30.926112,29.967795
62,3,3,3,5,5,5,5,H3,A3,R4,0.00561419,17.391648,22.16928,32.340964,31.744032,30.470028
62,3,4,2,2,2,3,4,H4,A2,R1,0.01313688,12.774803,15.977907,26.610234,32.522378,31.543042
62,3,4,2,3,3,3,5,H4,A2,R2,0.009411224,15.528192,19.178976,30.458045,35.22519,33.422995
62,3,4,2,4,4,3,6,H4,A2,R3,0.006358506,17.652933,22.662981,36.240946,38.412485,36.917475
62,3,4,2,5,3,3,5,H4,A2,R4,0.003438198,18.953472,24.078144,39.174816,39.983695,40.561488
62,3,4,3,2,1,3,3,H4,A3,R1,0.01313688,4.906551,5.6820951,23.494284,27.99323,25.53087
62,3,4,3,3,3,3,5,H4,A3,R2,0.009411224,5.8366448,10.956635,25.873452,29.99403,26.944755
62,3,4,3,4,5,3,7,H4,A3,R3,0.006358506,11.397625,16.42075,29.765142,31.248259,29.967795
62,3,4,3,5,5,3,7,H4,A3,R4,0.003438198,17.935137,22.63114,31.67414,32.736033,30.155904
63,3,1,2,2,2,2,5,H1,A2,R1,0.01240668,13.038201,15.332335,25.795635,31.858656,30.89267
63,3,1,2,3,2,2,5,H1,A2,R2,0.01132556,15.36644,18.979195,31.419878,34.51357,34.830279
63,3,1,2,4,3,2,6,H1,A2,R3,0.006527396,17.652933,22.434062,35.49371,38.412485,36.917475
63,3,1,2,5,2,2,5,H1,A2,R4,0.004630954,19.545768,24.328958,40.399029,39.983695,39.742064
63,3,1,3,2,2,2,5,H1,A3,R1,0.01475456,5.007717,5.7992517,22.54502,27.70464,26.337108
63,3,1,3,3,3,2,6,H1,A3,R2,0.01240668,5.8962024,10.956635,25.873452,29.08512,28.079271
63,3,1,3,4,4,2,7,H1,A3,R3,0.00750702,11.5176,16.9393,29.464484,31.570406,29.66509
63,3,1,3,5,3,2,6,H1,A3,R4,0.005216466,17.391648,22.16928,32.340964,32.405366,30.155904
63,3,2,2,2,3,4,4,H2,A2,R1,0.0131496,13.1699,16.623479,26.610234,33.1861,32.193414
63,3,2,2,3,3,4,4,H2,A2,R2,0.0121546,16.498704,19.378757,32.702322,36.64843,34.830279
63,3,2,2,4,4,4,5,H2,A2,R3,0.006317832,17.652933,23.120819,36.988182,40.39251,38.08329
63,3,2,2,5,4,4,5,H2,A2,R4,0.005695018,19.7432,24.579772,40.399029,42.508981,42.200336
63,3,2,3,2,1,4,2,H2,A3,R1,0.01505096,5.210049,5.85783,23.019652,28.859,26.8746
63,3,2,3,3,2,4,3,H2,A3,R2,0.0131496,6.0153176,11.879299,26.918844,29.99403,28.079271
63,3,2,3,4,3,4,4,H2,A3,R3,0.009144938,11.637575,17.45785,30.366458,32.858994,30.2705
63,3,2,3,5,5,4,6,H2,A3,R4,0.006317832,18.659789,23.32393,34.008024,33.0667,32.040648
63,3,3,2,2,2,5,2,H3,A2,R1,0.01294532,12.643104,15.332335,26.338701,32.522378,31.543042
63,3,3,2,3,3,5,3,H3,A2,R2,0.01193952,15.851696,19.378757,31.740489,35.22519,34.478458
63,3,3,2,4,4,5,4,H3,A2,R3,0.007944206,17.470944,22.662981,35.49371,39.204495,36.917475
63,3,3,2,5,4,5,4,H3,A2,R4,0.005074932,19.348336,23.82733,39.990958,41.246338,39.332352
63,3,3,3,2,1,5,1,H3,A3,R1,0.01319122,5.007717,5.7406734,22.54502,28.28182,26.068362
63,3,3,3,3,2,5,2,H3,A3,R2,0.01294532,5.7175296,11.187301,25.089408,29.08512,27.795642
63,3,3,3,4,2,5,2,H3,A3,R3,0.008847426,11.75755,16.42075,29.163826,30.926112,29.967795
63,3,3,3,5,4,5,4,H3,A3,R4,0.00561419,17.391648,22.16928,32.340964,31.744032,30.470028
63,3,4,2,2,2,3,4,H4,A2,R1,0.01313688,12.774803,15.977907,26.610234,32.522378,31.543042
63,3,4,2,3,2,3,4,H4,A2,R2,0.009411224,15.528192,19.178976,30.458045,35.22519,33.422995
63,3,4,2,4,3,3,5,H4,A2,R3,0.006358506,17.652933,22.662981,36.240946,38.412485,36.917475
63,3,4,2,5,3,3,5,H4,A2,R4,0.003438198,18.953472,24.078144,39.174816,39.983695,40.561488
63,3,4,3,2,2,3,4,H4,A3,R1,0.01313688,4.906551,5.6820951,23.494284,27.99323,25.53087
63,3,4,3,3,2,3,4,H4,A3,R2,0.009411224,5.8366448,10.956635,25.873452,29.99403,26.944755
63,3,4,3,4,2,3,4,H4,A3,R3,0.006358506,11.397625,16.42075,29.765142,31.248259,29.967795
63,3,4,3,5,3,3,5,H4,A3,R4,0.003438198,17.935137,22.63114,31.67414,32.736033,30.155904
64,3,1,2,2,3,4,4,H1,A2,R1,0.01240668,13.038201,15.332335,25.795635,31.858656,30.89267
64,3,1,2,3,3,4,4,H1,A2,R2,0.01132556,15.36644,18.979195,31.419878,34.51357,34.830279
64,3,1,2,4,2,4,3,H1,A2,R3,0.006527396,17.652933,22.434062,35.49371,38.412485,36.917475
64,3,1,2,5,3,4,4,H1,A2,R4,0.004630954,19.545768,24.328958,40.399029,39.983695,39.742064
64,3,1,3,2,1,4,2,H1,A3,R1,0.01475456,5.007717,5.7992517,22.54502,27.70464,26.337108
64,3,1,3,3,2,4,3,H1,A3,R2,0.01240668,5.8962024,10.956635,25.873452,29.08512,28.079271
64,3,1,3,4,3,4,4,H1,A3,R3,0.00750702,11.5176,16.9393,29.464484,31.570406,29.66509
64,3,1,3,5,2,4,3,H1,A3,R4,0.005216466,17.391648,22.16928,32.340964,32.405366,30.155904
64,3,2,2,2,1,4,2,H2,A2,R1,0.0131496,13.1699,16.623479,26.610234,33.1861,32.193414
64,3,2,2,3,1,4,2,H2,A2,R2,0.0121546,16.498704,19.378757,32.702322,36.64843,34.830279
64,3,2,2,4,3,4,4,H2,A2,R3,0.006317832,17.652933,23.120819,36.988182,40.39251,38.08329
64,3,2,2,5,3,4,4,H2,A2,R4,0.005695018,19.7432,24.579772,40.399029,42.508981,42.200336
64,3,2,3,2,1,4,2,H2,A3,R1,0.01505096,5.210049,5.85783,23.019652,28.859,26.8746
64,3,2,3,3,1,4,2,H2,A3,R2,0.0131496,6.0153176,11.879299,26.918844,29.99403,28.079271
64,3,2,3,4,3,4,4,H2,A3,R3,0.009144938,11.637575,17.45785,30.366458,32.858994,30.2705
64,3,2,3,5,4,4,5,H2,A3,R4,0.006317832,18.659789,23.32393,34.008024,33.0667,32.040648
64,3,3,2,2,3,4,4,H3,A2,R1,0.01294532,12.643104,15.332335,26.338701,32.522378,31.543042
64,3,3,2,3,2,4,3,H3,A2,R2,0.01193952,15.851696,19.378757,31.740489,35.22519,34.478458
64,3,3,2,4,2,4,3,H3,A2,R3,0.007944206,17.470944,22.662981,35.49371,39.204495,36.917475
64,3,3,2,5,3,4,4,H3,A2,R4,0.005074932,19.348336,23.82733,39.990958,41.246338,39.332352
64,3,3,3,2,2,4,3,H3,A3,R1,0.01319122,5.007717,5.7406734,22.54502,28.28182,26.068362
64,3,3,3,3,3,4,4,H3,A3,R2,0.01294532,5.7175296,11.187301,25.089408,29.08512,27.795642
64,3,3,3,4,3,4,4,H3,A3,R3,0.008847426,11.75755,16.42075,29.163826,30.926112,29.967795
64,3,3,3,5,3,4,4,H3,A3,R4,0.00561419,17.391648,22.16928,32.340964,31.744032,30.470028
64,3,4,2,2,1,4,2,H4,A2,R1,0.01313688,12.774803,15.977907,26.610234,32.522378,31.543042
64,3,4,2,3,3,4,4,H4,A2,R2,0.009411224,15.528192,19.178976,30.458045,35.22519,33.422995
64,3,4,2,4,4,4,5,H4,A2,R3,0.006358506,17.652933,22.662981,36.240946,38.412485,36.917475
64,3,4,2,5,3,4,4,H4,A2,R4,0.003438198,18.953472,24.078144,39.174816,39.983695,40.561488
64,3,4,3,2,1,4,2,H4,A3,R1,0.01313688,4.906551,5.6820951,23.494284,27.99323,25.53087
64,3,4,3,3,4,4,5,H4,A3,R2,0.009411224,5.8366448,10.956635,25.873452,29.99403,26.944755
64,3,4,3,4,3,4,4,H4,A3,R3,0.006358506,11.397625,16.42075,29.765142,31.248259,29.967795
64,3,4,3,5,4,4,5,H4,A3,R4,0.003438198,17.935137,22.63114,31.67414,32.736033,30.155904
65,3,1,2,2,3,5,3,H1,A2,R1,0.01240668,13.038201,15.332335,25.795635,31.858656,30.89267
65,3,1,2,3,4,5,4,H1,A2,R2,0.01132556,15.36644,18.979195,31.419878,34.51357,34.830279
65,3,1,2,4,5,5,5,H1,A2,R3,0.006527396,17.652933,22.434062,35.49371,38.412485,36.917475
65,3,1,2,5,5,5,5,H1,A2,R4,0.004630954,19.545768,24.328958,40.399029,39.983695,39.742064
65,3,1,3,2,2,5,2,H1,A3,R1,0.01475456,5.007717,5.7992517,22.54502,27.70464,26.337108
65,3,1,3,3,4,5,4,H1,A3,R2,0.01240668,5.8962024,10.956635,25.873452,29.08512,28.079271
65,3,1,3,4,4,5,4,H1,A3,R3,0.00750702,11.5176,16.9393,29.464484,31.570406,29.66509
65,3,1,3,5,5,5,5,H1,A3,R4,0.005216466,17.391648,22.16928,32.340964,32.405366,30.155904
65,3,2,2,2,3,5,3,H2,A2,R1,0.0131496,13.1699,16.623479,26.610234,33.1861,32.193414
65,3,2,2,3,3,5,3,H2,A2,R2,0.0121546,16.498704,19.378757,32.702322,36.64843,34.830279
65,3,2,2,4,4,5,4,H2,A2,R3,0.006317832,17.652933,23.120819,36.988182,40.39251,38.08329
65,3,2,2,5,4,5,4,H2,A2,R4,0.005695018,19.7432,24.579772,40.399029,42.508981,42.200336
65,3,2,3,2,2,5,2,H2,A3,R1,0.01505096,5.210049,5.85783,23.019652,28.859,26.8746
65,3,2,3,3,2,5,2,H2,A3,R2,0.0131496,6.0153176,11.879299,26.918844,29.99403,28.079271
65,3,2,3,4,4,5,4,H2,A3,R3,0.009144938,11.637575,17.45785,30.366458,32.858994,30.2705
65,3,2,3,5,4,5,4,H2,A3,R4,0.006317832,18.659789,23.32393,34.008024,33.0667,32.040648
65,3,3,2,2,3,5,3,H3,A2,R1,0.01294532,12.643104,15.332335,26.338701,32.522378,31.543042
65,3,3,2,3,4,5,4,H3,A2,R2,0.01193952,15.851696,19.378757,31.740489,35.22519,34.478458
65,3,3,2,4,4,5,4,H3,A2,R3,0.007944206,17.470944,22.662981,35.49371,39.204495,36.917475
65,3,3,2,5,5,5,5,H3,A2,R4,0.005074932,19.348336,23.82733,39.990958,41.246338,39.332352
65,3,3,3,2,2,5,2,H3,A3,R1,0.01319122,5.007717,5.7406734,22.54502,28.28182,26.068362
65,3,3,3,3,4,5,4,H3,A3,R2,0.01294532,5.7175296,11.187301,25.089408,29.08512,27.795642
65,3,3,3,4,4,5,4,H3,A3,R3,0.008847426,11.75755,16.42075,29.163826,30.926112,29.967795
65,3,3,3,5,4,5,4,H3,A3,R4,0.00561419,17.391648,22.16928,32.340964,31.744032,30.470028
65,3,4,2,2,1,5,1,H4,A2,R1,0.01313688,12.774803,15.977907,26.610234,32.522378,31.543042
65,3,4,2,3,2,5,2,H4,A2,R2,0.009411224,15.528192,19.178976,30.458045,35.22519,33.422995
65,3,4,2,4,4,5,4,H4,A2,R3,0.006358506,17.652933,22.662981,36.240946,38.412485,36.917475
65,3,4,2,5,4,5,4,H4,A2,R4,0.003438198,18.953472,24.078144,39.174816,39.983695,40.561488
65,3,4,3,2,1,5,1,H4,A3,R1,0.01313688,4.906551,5.6820951,23.494284,27.99323,25.53087
65,3,4,3,3,2,5,2,H4,A3,R2,0.009411224,5.8366448,10.956635,25.873452,29.99403,26.944755
65,3,4,3,4,3,5,3,H4,A3,R3,0.006358506,11.397625,16.42075,29.765142,31.248259,29.967795
65,3,4,3,5,4,5,4,H4,A3,R4,0.003438198,17.935137,22.63114,31.67414,32.736033,30.155904
66,3,1,2,2,3,4,4,H1,A2,R1,0.01240668,13.038201,15.332335,25.795635,31.858656,30.89267
66,3,1,2,3,3,4,4,H1,A2,R2,0.01132556,15.36644,18.979195,31.419878,34.51357,34.830279
66,3,1,2,4,3,4,4,H1,A2,R3,0.006527396,17.652933,22.434062,35.49371,38.412485,36.917475
66,3,1,2,5,4,4,5,H1,A2,R4,0.004630954,19.545768,24.328958,40.399029,39.983695,39.742064
66,3,1,3,2,2,4,3,H1,A3,R1,0.01475456,5.007717,5.7992517,22.54502,27.70464,26.337108
66,3,1,3,3,3,4,4,H1,A3,R2,0.01240668,5.8962024,10.956635,25.873452,29.08512,28.079271
66,3,1,3,4,3,4,4,H1,A3,R3,0.00750702,11.5176,16.9393,29.464484,31.570406,29.66509
66,3,1,3,5,3,4,4,H1,A3,R4,0.005216466,17.391648,22.16928,32.340964,32.405366,30.155904
66,3,2,2,2,4,5,4,H2,A2,R1,0.0131496,13.1699,16.623479,26.610234,33.1861,32.193414
66,3,2,2,3,3,5,3,H2,A2,R2,0.0121546,16.498704,19.378757,32.702322,36.64843,34.830279
66,3,2,2,4,4,5,4,H2,A2,R3,0.006317832,17.652933,23.120819,36.988182,40.39251,38.08329
66,3,2,2,5,5,5,5,H2,A2,R4,0.005695018,19.7432,24.579772,40.399029,42.508981,42.200336
66,3,2,3,2,2,5,2,H2,A3,R1,0.01505096,5.210049,5.85783,23.019652,28.859,26.8746
66,3,2,3,3,3,5,3,H2,A3,R2,0.0131496,6.0153176,11.879299,26.918844,29.99403,28.079271
66,3,2,3,4,4,5,4,H2,A3,R3,0.009144938,11.637575,17.45785,30.366458,32.858994,30.2705
66,3,2,3,5,4,5,4,H2,A3,R4,0.006317832,18.659789,23.32393,34.008024,33.0667,32.040648
66,3,3,2,2,2,5,2,H3,A2,R1,0.01294532,12.643104,15.332335,26.338701,32.522378,31.543042
66,3,3,2,3,3,5,3,H3,A2,R2,0.01193952,15.851696,19.378757,31.740489,35.22519,34.478458
